Well,DELTA,FLUO^O,STDEV%,STDEV
1- A1,0.344550787,1619.5,8.682371961,0.030056895
1- A2,-0.010230804,7159.75,-75.70928689,0.007675797
1- A3,-0.016235437,16522.5,-19.84580084,0.003225235
1- A4,0.069620253,79,139.0249719,0.108116936
1- A5,0.328871417,5024,5.629890621,0.018515496
1- A6,-0.009696066,8044.5,-90.33562504,0.008515707
1- A7,-0.00169326,3838.75,-1245.825749,0.025061804
1- A8,-0.006545338,3132,-559.5059983,0.036795426
1- A9,-0.00757438,8251.5,-139.5182172,0.011149252
1- A10,-0.011867736,3054.5,-159.4727527,0.019127816
1- A11,-0.025772153,8652.75,-61.82061363,0.015756048
1- A12,0.333354228,3988.25,5.018975007,0.016727407
1- B1,-0.011067953,11971.5,-86.30004988,0.009401207
1- B2,0.400196549,2289.5,5.567419472,0.02235534
1- B3,-0.006987711,7262.75,-60.30473893,0.003984831
1- B4,0.008195826,2287.75,182.069472,0.014440978
1- B5,0.217939734,2140.5,10.56448971,0.023071871
1- B6,0.004576071,4862.25,291.5852294,0.01439544
1- B7,-0.016933159,4768.75,-25.8351171,0.004394319
1- B8,-0.005432154,13438.5,-134.1327456,0.00738822
1- B9,0.146149181,2885.75,6.177992259,0.009043287
1- B10,0.367582897,1146,6.858482161,0.025165728
1- B11,-0.007174819,3240.5,-205.3608506,0.016329909
1- B12,-0.017908032,7105.75,-85.0051477,0.015317367
1- C1,0.306400507,1578,8.576615679,0.026442356
1- C2,-0.014264517,7413.5,-75.68520772,0.010341553
1- C3,-0.021584851,7644.25,-43.92427012,0.009343055
1- C4,0.001387755,3062.5,1045.025119,0.011543921
1- C5,0.145900704,1314.25,19.7268361,0.028392702
1- C6,0.071698113,331.25,19.55608611,0.013973796
1- C7,0.027666836,3442.75,34.49861392,0.009665664
1- C8,0.276928675,687,4.048544391,0.011231218
1- C9,0.006174699,4980,168.7061398,0.009831075
1- C10,0.374686087,995.5,2.910747718,0.010897696
1- C11,0.397167365,1253.25,6.111999038,0.024325992
1- C12,0.050955414,196.25,112.5297452,0.063086131
1- D1,0.076923077,104,85.63385532,0.067642111
1- D2,-0.002045894,9042.5,-614.8462181,0.008795204
1- D3,0.143939394,99,40.13189467,0.059668423
1- D4,0.34757764,2012.5,4.600533599,0.015997231
1- D5,0.005318727,6298.5,229.6437575,0.012593801
1- D6,0.340997662,1924.5,3.332010053,0.011361466
1- D7,0.218073649,2437.25,4.762910543,0.010392351
1- D8,0.015291107,3907.5,155.9911353,0.023375532
1- D9,0.042918455,466,97.2156606,0.041290832
1- D10,0.197120709,1354.5,3.069943132,0.006049436
1- D11,-0.012446127,6206.75,-63.35421846,0.007759273
1- D12,-0.005614774,5699.25,-99.01188648,0.005747571
1- E1,0.021276596,141,166.1592279,0.035569719
1- E2,0.05019685,254,42.34992819,0.020801375
1- E3,0.127094972,179,39.35999346,0.050705156
1- E4,0.228006682,898,6.132860675,0.01401873
1- E5,0.129518072,83,43.17210321,0.056681707
1- E6,0.165786695,236.75,26.71686535,0.044535043
1- E7,0.093078759,314.25,32.45239053,0.030264251
1- E8,-0.016297663,4065,-87.74269816,0.014163091
1- E9,0.218007313,547,12.65321866,0.027656962
1- E10,0.404179104,1675,5.44623296,0.022046926
1- E11,0.033452808,1464.75,36.52034007,0.012248491
1- E12,0.246533405,1388.25,15.19891447,0.037372902
1- F1,0.164736165,194.25,14.01992378,0.023147297
1- F2,1.285714286,210,5.934599153,0.076346489
1- F3,0.117263844,153.5,43.69841202,0.050935013
1- F4,0.197674419,64.5,53.96428629,0.109429765
1- F5,0.085630312,3147.25,9.013191197,0.00773443
1- F6,-0.001200999,5204,-761.4442587,0.008337287
1- F7,-0.003179417,10222,-321.105785,0.01098339
1- F8,0.023047642,8406.5,18.82017226,0.004353435
1- F9,-0.000547855,4563.25,-1339.80137,0.006746447
1- F10,-0.005261545,9788,-89.63475731,0.004714528
1- F11,0.209713247,2476,9.558633897,0.020081486
1- F12,0.009349371,4572.5,103.5787013,0.009511266
1- G1,0.296400533,1687.75,10.07125612,0.029824327
1- G2,0.016475305,6858.75,42.29700109,0.007005731
1- G3,0.146541209,1434.75,7.527652135,0.011024581
1- G4,0.012273361,3585,98.69993222,0.012559609
1- G5,-0.01027406,9806.25,-83.78788385,0.008668884
1- G6,0.067631103,691.25,29.18894569,0.019939913
1- G7,-0.000131816,5689.75,-2218.055229,0.008351402
1- G8,0.198071515,622.25,16.22704618,0.03217365
1- G9,0.139532857,2868.5,8.712908062,0.01215783
1- G10,0.001076137,929.25,1007.997218,0.014385628
1- G11,0.032085561,327.25,194.9307951,0.067484905
1- G12,0.200232153,430.75,10.00738518,0.020033468
1- H1,0.003694581,4872,335.3436947,0.012127199
1- H2,0.372516556,151,12.06465347,0.044958727
1- H3,0.011083975,1330.75,124.5083642,0.01348076
1- H4,-0.011819733,3955.25,-95.94567237,0.010960949
1- H5,0.002878526,3908.25,372.9341652,0.010158535
1- H6,-0.010412916,9027.25,-135.389334,0.013682429
1- H7,0.348664477,3500.5,3.889182134,0.013573432
1- H8,0.129032258,77.5,48.07672837,0.061727841
1- H9,0.001439461,7641.75,852.5628136,0.015868841
1- H10,0.195482432,896.5,12.63620605,0.024695404
1- H11,-0.02970297,25.25,-1022.653155,0.148200423
1- H12,1.201570681,95.5,14.89809466,0.180745594
2- A1,0.474959612,2166.5,5.390902205,0.025604909
2- A2,-0.027497865,1463.75,-25.11835399,0.006910197
2- A3,-0.023148148,108,-214.5699341,0.042815294
2- A4,-0.020934188,5732.25,-25.33904969,0.005299011
2- A5,0.212079616,1821.25,9.796362821,0.020809901
2- A6,-0.048332586,8358.75,-17.29729595,0.008346208
2- A7,-0.043727758,5620,-19.04986652,0.008320654
2- A8,-0.01775329,4083.75,-85.57950078,0.015030498
2- A9,-0.010680288,3230.25,-207.4828365,0.021825375
2- A10,-0.031091371,4728,-17.53986521,0.00547024
2- A11,0.408430647,2633.25,4.72014181,0.019292281
2- A12,0.37535338,1945.5,8.551167918,0.032090446
2- B1,-0.02675217,3859.5,-10.35924291,0.002771743
2- B2,-0.019339375,7614,-52.91142239,0.0102077
2- B3,-0.02143906,5107.5,-68.35526858,0.014564875
2- B4,-0.020950047,8568,-35.71282294,0.00751851
2- B5,0.062299613,4522.5,18.43789563,0.011530067
2- B6,-0.015861879,9976.75,-77.94280549,0.012182422
2- B7,-0.008412413,4873.75,-109.9117589,0.009225437
2- B8,0.262154233,2386,3.52715506,0.009252963
2- B9,-0.024679925,10798.25,-40.16042262,0.009971152
2- B10,0.001487588,8066.75,471.293889,0.00721972
2- B11,0.00261233,957,500.1104113,0.012154296
2- B12,0.294654009,2001.5,3.906237508,0.011512444
